,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,score_add
0,1872-11-30,Scotland,England,0,0,Friendly,Glasgow,Scotland,False,0
1,1873-03-08,England,Scotland,4,2,Friendly,London,England,False,6
2,1874-03-07,Scotland,England,2,1,Friendly,Glasgow,Scotland,False,3
3,1875-03-06,England,Scotland,2,2,Friendly,London,England,False,4
4,1876-03-04,Scotland,England,3,0,Friendly,Glasgow,Scotland,False,3
6,1877-03-03,England,Scotland,1,3,Friendly,London,England,False,4
8,1878-03-02,Scotland,England,7,2,Friendly,Glasgow,Scotland,False,9
10,1879-01-18,England,Wales,2,1,Friendly,London,England,False,3
11,1879-04-05,England,Scotland,5,4,Friendly,London,England,False,9
13,1880-03-13,Scotland,England,5,4,Friendly,Glasgow,Scotland,False,9
14,1880-03-15,Wales,England,2,3,Friendly,Wrexham,Wales,False,5
16,1881-02-26,England,Wales,0,1,Friendly,Blackburn,England,False,1
17,1881-03-12,England,Scotland,1,6,Friendly,London,England,False,7
19,1882-02-18,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,False,13
21,1882-03-11,Scotland,England,5,1,Friendly,Glasgow,Scotland,False,6
22,1882-03-13,Wales,England,5,3,Friendly,Wrexham,Wales,False,8
24,1883-02-03,England,Wales,5,0,Friendly,London,England,False,5
25,1883-02-24,England,Northern Ireland,7,0,Friendly,Liverpool,England,False,7
26,1883-03-10,England,Scotland,2,3,Friendly,Sheffield,England,False,5
31,1884-02-23,Northern Ireland,England,1,8,British Championship,Belfast,Ireland,False,9
32,1884-03-15,Scotland,England,1,0,British Championship,Glasgow,Scotland,False,1
33,1884-03-17,Wales,England,0,4,British Championship,Wrexham,Wales,False,4
35,1885-02-28,England,Northern Ireland,4,0,British Championship,Manchester,England,False,4
36,1885-03-14,England,Wales,1,1,British Championship,Blackburn,England,False,2
38,1885-03-21,England,Scotland,1,1,British Championship,London,England,False,2
43,1886-03-13,Northern Ireland,England,1,6,British Championship,Belfast,Ireland,False,7
45,1886-03-27,Scotland,England,1,1,British Championship,Glasgow,Scotland,False,2
